Month,Year,Temperature
June,1980,7.8
July,1980,6.5
August,1980,7.9
September,1980,10.4
October,1980,12.9
November,1980,13
December,1980,16.3
January,1981,19
February,1981,18.7
March,1981,17.4
April,1981,14.1
May,1981,9.4
June,1981,8.2
July,1981,6.5
August,1981,6.9
September,1981,9.3
October,1981,12.2
November,1981,14
December,1981,17.6
January,1982,17.2
February,1982,18.4
March,1982,16.2
April,1982,11.6
May,1982,9.7
June,1982,6.8
July,1982,6
August,1982,8.4
September,1982,9.5
October,1982,10.4
November,1982,14.9
December,1982,14.8
January,1983,16.1
February,1983,16.3
March,1983,15.8
April,1983,12.4
May,1983,9.8
June,1983,6.9
July,1983,5.9
August,1983,7.8
September,1983,10.3
October,1983,12.8
November,1983,13.8
December,1983,15.1
January,1984,15.3
February,1984,16.5
March,1984,16.9
April,1984,12.6
May,1984,9
June,1984,7.9
July,1984,8.1
August,1984,9
September,1984,10
October,1984,11.8
November,1984,15.5
December,1984,16.7
January,1985,17.9
February,1985,17.1
March,1985,15.7
April,1985,13.4
May,1985,9.9
June,1985,8.6
July,1985,7.8
August,1985,7.2
September,1985,10.3
October,1985,11.3
November,1985,14.1
December,1985,17
January,1986,18.9
February,1986,17.4
March,1986,15.4
April,1986,13.4
May,1986,10.1
June,1986,7.7
July,1986,5.8
August,1986,7.5
September,1986,9.8
October,1986,12.6
November,1986,14.1
December,1986,15.7
January,1987,17.9
February,1987,16.8
March,1987,15
April,1987,12.9
May,1987,10.7
June,1987,8.1
July,1987,7.2
August,1987,9.3
September,1987,10.3
October,1987,12.2
November,1987,14.5
December,1987,15.8
January,1988,17.6
February,1988,18.3
March,1988,14.8
April,1988,11.2
May,1988,9.1
June,1988,8.2
July,1988,8.1
August,1988,8.7
September,1988,11.6
October,1988,12.7
November,1988,15
December,1988,17.2
January,1989,18.9
February,1989,17.2
March,1989,16.6
April,1989,13.3
May,1989,10.4
June,1989,8
July,1989,6
August,1989,8.8
September,1989,11
October,1989,13
November,1989,15
December,1989,16.4
January,1990,17.8
February,1990,19.4
March,1990,17.3
April,1990,14
May,1990,10.4
June,1990,7.7
July,1990,7.2
August,1990,8.2
September,1990,9.2
October,1990,12.9
November,1990,14.2
December,1990,16.6
January,1991,17.2
February,1991,17.5
March,1991,16
April,1991,12.4
May,1991,10.3
June,1991,6.5
July,1991,6.1
August,1991,8.5
September,1991,10.5
October,1991,11.8
November,1991,13.2
December,1991,15.5
March,1992,14.5
April,1992,11.4
May,1992,8.5
June,1992,5.8
July,1992,7.2
August,1992,7.6
September,1992,8.7
October,1992,11.6
November,1992,14.2
December,1992,15.5
January,1993,16.7
February,1993,16.1
March,1993,14.9
April,1993,11.8
May,1993,10.3
June,1993,8.9
July,1993,6.7
August,1993,7.5
September,1993,9.2
October,1993,12.2
November,1993,12.6
December,1993,14.8
January,1994,17.4
February,1994,18
March,1994,15
April,1994,13.2
May,1994,10.3
June,1994,7.4
July,1994,6.6
August,1994,8.4
September,1994,9.6
